gender id vowel accuracy iy ih ei eh ae ah aw oa oo uw uh er vote
m 18 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 18 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 18 ih 90.0 0 18 0 2 0 0 0 0 0 0 0 0 ih
m 18 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 18 oa 95.0 0 0 0 0 0 0 0 19 0 0 1 0 oa
m 18 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 18 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 18 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 19 ae 80.0 0 0 0 4 16 0 0 0 0 0 0 0 ae
m 19 ah 90.0 0 0 0 0 0 18 1 0 0 0 1 0 ah
m 19 aw 70.0 0 0 0 0 0 2 14 0 1 0 3 0 aw
m 19 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 19 ei 95.0 0 0 19 1 0 0 0 0 0 0 0 0 ei
m 19 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 19 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 19 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 19 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 19 oo 95.0 0 0 0 0 0 0 0 0 19 1 0 0 oo
m 19 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 19 uw 95.0 0 0 0 0 0 0 0 0 1 19 0 0 uw
m 20 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 20 ah 95.0 0 0 0 0 1 19 0 0 0 0 0 0 ah
m 20 aw 80.0 0 0 0 0 0 2 16 0 0 0 2 0 aw
m 20 eh 95.0 0 0 0 19 1 0 0 0 0 0 0 0 eh
m 20 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 20 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 20 ih 90.0 0 18 0 2 0 0 0 0 0 0 0 0 ih
m 20 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 20 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 20 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 20 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 20 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 21 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 21 ah 95.0 0 0 0 0 0 19 0 0 0 0 1 0 ah
m 21 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 21 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 21 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 21 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 21 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 21 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 21 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 21 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 21 uh 90.0 0 0 0 0 0 1 0 0 1 0 18 0 uh
m 21 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 22 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 22 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 22 aw 45.0 0 0 0 0 0 11 9 0 0 0 0 0 ah
m 22 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 22 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 22 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 22 ih 85.0 0 17 0 3 0 0 0 0 0 0 0 0 ih
m 22 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 22 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 22 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 22 uh 95.0 0 0 0 0 0 0 1 0 0 0 19 0 uh
m 22 uw 95.0 0 0 0 0 0 0 0 1 0 19 0 0 uw
m 23 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 23 ah 95.0 0 0 0 0 0 19 1 0 0 0 0 0 ah
m 23 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 23 eh 80.0 0 0 0 16 4 0 0 0 0 0 0 0 eh
m 23 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 23 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 23 ih 95.0 0 19 0 1 0 0 0 0 0 0 0 0 ih
m 23 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 23 oa 95.0 0 0 0 1 0 0 0 19 0 0 0 0 oa
m 23 oo 90.0 0 0 0 0 0 0 0 0 18 0 2 0 oo
m 23 uh 85.0 0 0 0 0 0 1 2 0 0 0 17 0 uh
m 23 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 24 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 24 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 24 aw 45.0 0 0 0 0 0 11 9 0 0 0 0 0 ah
m 24 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 24 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 24 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 24 ih 50.0 0 10 0 10 0 0 0 0 0 0 0 0 ih
m 24 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 24 oa 95.0 0 0 0 0 0 0 0 19 1 0 0 0 oa
m 24 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 24 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 24 uw 85.0 0 0 0 0 0 0 0 0 3 17 0 0 uw
m 25 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 25 ah 95.0 0 0 0 0 0 19 0 0 0 0 1 0 ah
m 25 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 25 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 25 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 25 er 95.0 0 1 0 0 0 0 0 0 0 0 0 19 er
m 25 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 25 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 25 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 25 oo 90.0 0 0 0 0 0 0 0 0 18 0 2 0 oo
m 25 uh 80.0 0 0 0 0 0 3 0 0 0 0 16 1 uh
m 25 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 26 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 26 ah 95.0 0 0 0 0 1 19 0 0 0 0 0 0 ah
m 26 aw 80.0 0 0 0 0 0 4 16 0 0 0 0 0 aw
m 26 eh 95.0 0 0 0 19 1 0 0 0 0 0 0 0 eh
m 26 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 26 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 26 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 26 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 26 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 26 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 26 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 26 uw 95.0 0 0 0 0 0 0 0 0 1 19 0 0 uw
m 27 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 27 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
